epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12329.4,1.42763,1.16665,1.35338,0.61808,0.56739,0.61578,0.35616,1.54599,1.49732,1.45591,0.00183764,0.00183764,0.00183764
43,12553.7,1.43969,1.18166,1.3777,0.66128,0.65058,0.68925,0.3807,1.61897,1.32319,1.51344,0.00183368,0.00183368,0.00183368
44,12778.5,1.42252,1.19934,1.36672,0.66967,0.65439,0.70065,0.4029,1.44593,1.28433,1.41946,0.00182972,0.00182972,0.00182972
45,13003.7,1.41862,1.1734,1.36269,0.69395,0.62629,0.7056,0.40783,1.49886,1.23535,1.44757,0.00182576,0.00182576,0.00182576
46,13226.5,1.42274,1.16126,1.33059,0.68201,0.599,0.65791,0.39782,1.47474,1.32825,1.40131,0.0018218,0.0018218,0.0018218
47,13455.1,1.41884,1.14351,1.34455,0.65981,0.67126,0.71587,0.3976,1.5564,1.24428,1.45454,0.00181784,0.00181784,0.00181784
48,13685,1.41816,1.15619,1.35259,0.66771,0.63192,0.69636,0.40004,1.48626,1.32976,1.42758,0.00181388,0.00181388,0.00181388
49,13913,1.43613,1.16904,1.35526,0.70635,0.61897,0.68649,0.38855,1.52783,1.38446,1.45135,0.00180992,0.00180992,0.00180992
50,14142.1,1.41457,1.15902,1.35998,0.67774,0.62562,0.69914,0.40096,1.52913,1.3244,1.44347,0.00180596,0.00180596,0.00180596
51,14371.5,1.41337,1.15179,1.33726,0.673,0.64559,0.70172,0.40346,1.53312,1.25614,1.44352,0.001802,0.001802,0.001802
52,14601.9,1.42137,1.16489,1.35435,0.67041,0.61597,0.69378,0.39682,1.51036,1.27608,1.44674,0.00179804,0.00179804,0.00179804
53,14830.7,1.42225,1.1481,1.33975,0.69939,0.61897,0.69228,0.41066,1.46359,1.22903,1.39444,0.00179408,0.00179408,0.00179408
54,15058.5,1.39907,1.11122,1.33154,0.65405,0.64892,0.69864,0.40302,1.53329,1.23361,1.4617,0.00179012,0.00179012,0.00179012
55,15290.3,1.41593,1.1322,1.34086,0.63483,0.65058,0.6655,0.38072,1.52701,1.38313,1.44495,0.00178616,0.00178616,0.00178616
56,15522.5,1.41648,1.14569,1.33574,0.69777,0.63727,0.71942,0.42834,1.49728,1.18114,1.42679,0.0017822,0.0017822,0.0017822
57,15756.3,1.38093,1.12314,1.32069,0.67833,0.64561,0.71946,0.42235,1.47342,1.22518,1.41605,0.00177824,0.00177824,0.00177824
58,15987.7,1.39892,1.1295,1.33742,0.69559,0.69384,0.75283,0.43536,1.46059,1.179,1.4014,0.00177428,0.00177428,0.00177428
59,16218.5,1.38157,1.1029,1.32623,0.69309,0.64559,0.72049,0.42017,1.49977,1.18372,1.42298,0.00177032,0.00177032,0.00177032
60,16448.1,1.38688,1.1407,1.33425,0.71083,0.65441,0.73521,0.42444,1.48117,1.20746,1.42942,0.00176636,0.00176636,0.00176636
61,16678.6,1.39359,1.1091,1.3326,0.67923,0.63772,0.71357,0.41072,1.53023,1.27907,1.44546,0.0017624,0.0017624,0.0017624
62,16909,1.39041,1.10704,1.32842,0.73729,0.60399,0.71557,0.42187,1.44186,1.21673,1.40792,0.00175844,0.00175844,0.00175844
63,17140.3,1.39105,1.0826,1.32563,0.66214,0.62562,0.6805,0.38624,1.55959,1.26842,1.49538,0.00175448,0.00175448,0.00175448
64,17369.3,1.40277,1.10257,1.33406,0.62324,0.63856,0.65624,0.36134,1.52492,1.44494,1.45525,0.00175052,0.00175052,0.00175052
65,17602.5,1.38795,1.10807,1.3285,0.68846,0.61231,0.70046,0.39397,1.55899,1.27727,1.49441,0.00174656,0.00174656,0.00174656
66,17837.2,1.39429,1.09324,1.33395,0.70529,0.63894,0.72914,0.41125,1.52708,1.21428,1.44674,0.0017426,0.0017426,0.0017426
67,18068.6,1.38497,1.12229,1.31325,0.70332,0.65391,0.74653,0.43177,1.44316,1.16553,1.40893,0.00173864,0.00173864,0.00173864
68,18299.7,1.34295,1.07084,1.29924,0.69796,0.6772,0.73238,0.43011,1.46404,1.21089,1.41791,0.00173468,0.00173468,0.00173468
69,18534.2,1.37464,1.0843,1.3178,0.67625,0.68552,0.73832,0.43577,1.47325,1.23198,1.41936,0.00173072,0.00173072,0.00173072
70,18767.2,1.37992,1.08247,1.31538,0.73257,0.63356,0.72421,0.40904,1.54842,1.25198,1.45006,0.00172676,0.00172676,0.00172676
71,19000.5,1.33886,1.07874,1.30693,0.72631,0.65058,0.72389,0.42131,1.46318,1.20407,1.42111,0.0017228,0.0017228,0.0017228
72,19233.8,1.34787,1.05606,1.30797,0.74858,0.64559,0.7565,0.44335,1.45728,1.17722,1.41517,0.00171884,0.00171884,0.00171884
73,19467.4,1.33302,1.04277,1.29475,0.73491,0.64226,0.74537,0.44134,1.4834,1.17426,1.43338,0.00171488,0.00171488,0.00171488
74,19697.2,1.36755,1.06625,1.31835,0.66841,0.65405,0.71855,0.42764,1.46752,1.1763,1.42748,0.00171092,0.00171092,0.00171092
75,19928.5,1.33492,1.03913,1.29979,0.68127,0.6793,0.73744,0.42155,1.49763,1.16915,1.44069,0.00170696,0.00170696,0.00170696
